Model,MSE,R2 Score
Linear Regression,351.8470321580847,0.8272032264409662
Random Forest,74.92826282236672,0.963201730068108
Gradient Boosting,53.07958288752201,0.9739319083961971
Support Vector Machine,2201.9605230499083,-0.08141220221073753
